,rho,p,adjusted_p,class
Nfu_g_1_009327,0.396154592979132,0.0499464806621525,0.118530243122365,Not-significant
Nfu_g_1_009329,-0.356931365951495,0.0798582399000738,0.168970219506879,Not-significant
Nfu_g_1_009330,0.00784464540552736,0.970313113331037,0.97810639677483,Not-significant
Nfu_g_1_009335,-0.380465302168077,0.0606280966718385,0.137463429796771,Not-significant
Nfu_g_1_009337,0.109825035677383,0.601254461564429,0.721374393321795,Not-significant
Nfu_g_1_009345,-0.211805425949239,0.309438918859256,0.453054766758642,Not-significant
Nfu_g_1_009347,0.321630461626622,0.11692512212938,0.223116356026328,Not-significant
Nfu_g_1_009348,0.396154592979132,0.0499464806621525,0.118530243122365,Not-significant
Nfu_g_1_009350,0.274562589193458,0.184103649838659,0.310810095036659,Not-significant
Nfu_g_1_009351,-0.254950975679639,0.218718745616317,0.351303476880897,Not-significant
Nfu_g_1_009356,-0.356931365951495,0.0798582399000738,0.168970219506879,Not-significant
Nfu_g_1_009361,0.0509901951359279,0.808737084533853,0.874536829878194,Not-significant
Nfu_g_1_009364,-0.254950975679639,0.218718745616317,0.351303476880897,Not-significant
Nfu_g_1_009365,-0.345164397843204,0.0910558495858242,0.186109822437322,Not-significant
Nfu_g_1_009368,-0.196116135138184,0.347450201330874,0.493124641596853,Not-significant
Nfu_g_1_009373,-0.00392232270276368,0.985154158887765,0.987944117059997,Not-significant
Nfu_g_1_009376,0.0706018086497463,0.737357202676773,0.823855833281519,Not-significant
Nfu_g_1_009378,0.0549125178386915,0.794321943739653,0.864986498866409,Not-significant
Nfu_g_1_009381,-0.086291099460801,0.681708334347298,0.78294198251517,Not-significant
Nfu_g_1_009383,0.254950975679639,0.218718745616316,0.351303476880897,Not-significant
Nfu_g_1_009385,0.133358971893965,0.525098450748756,0.657949088736752,Not-significant
Nfu_g_1_009388,-0.227494716760293,0.27410488031915,0.415494555628248,Not-significant
Nfu_g_1_009389,-0.376542979465313,0.0635558154019294,0.142311632725865,Not-significant
Nfu_g_1_009390,-0.353009043248731,0.0834680952673886,0.174596237252355,Not-significant
Nfu_g_1_009391,0.407921561087423,0.0429485990351536,0.106246347164059,Not-significant
Nfu_g_1_009393,-0.101980390271856,0.62763037393172,0.741357536041578,Not-significant
Nfu_g_1_009395,-0.302018848112803,0.142294156193641,0.25773594421994,Not-significant
Nfu_g_1_009398,0.0392232270276368,0.852329535048813,0.903737283713933,Not-significant
Nfu_g_1_009399,0.0353009043248731,0.8669609585549,0.912808527564174,Not-significant
Nfu_g_1_009400,-0.0745241313525099,0.723311326587754,0.813663694476694,Not-significant
Nfu_g_1_009403,-0.098058067569092,0.640989413882094,0.751496989315474,Not-significant
Nfu_g_1_009404,-0.403999238384659,0.0451895199799391,0.110276665173787,Not-significant
Nfu_g_1_009412,0.184349167029893,0.377695026141098,0.523023210082262,Not-significant
Nfu_g_1_009418,-0.19219381243542,0.357367764287643,0.502382161195517,Not-significant
Nfu_g_1_009423,0.388752031819799,0.054786092719685,0.128061011380364,Not-significant
Nfu_g_1_009428,-0.0509901951359279,0.808737084533853,0.874536829878194,Not-significant
Nfu_g_1_009430,0.184349167029893,0.377695026141098,0.523023210082262,Not-significant
Nfu_g_1_009432,-0.321630461626622,0.11692512212938,0.223116356026328,Not-significant
Nfu_g_1_009434,-0.274562589193458,0.184103649838659,0.310810095036659,Not-significant
Nfu_g_1_009435,0.101980390271856,0.62763037393172,0.741357536041578,Not-significant
Nfu_g_1_009436,0.0627571632442189,0.765691771946654,0.844287579943403,Not-significant
