,rho,p,adjusted_p,class
ENSGALG00000031737,0.21733305357063,0.47569395260821,0.697819971071411,Not-significant
ENSGALG00000031741,0.0840497722020789,0.784858666138217,0.897798553331367,Not-significant
ENSGALG00000031754,0.431455497304005,0.140998349313447,0.3533320861217,Not-significant
ENSGALG00000031758,0.389430611202965,0.188411243293349,0.415056330222726,Not-significant
ENSGALG00000031763,-0.179306180697768,0.557781626569564,0.756050456445803,Not-significant
ENSGALG00000031768,-0.140552844299987,0.646957371392558,0.815822703650158,Not-significant
ENSGALG00000031786,0.526711905799694,0.0644097079926783,0.223642557524514,Not-significant
ENSGALG00000031789,0.487488678772057,0.0910694223252225,0.275010630474133,Not-significant
ENSGALG00000031796,-0.375422315835952,0.206200610777494,0.436561940643969,Not-significant
ENSGALG00000031797,-0.193314476064781,0.526871764086017,0.734265279747429,Not-significant
ENSGALG00000031804,0.275378527364305,0.36248889290129,0.599038496832399,Not-significant
ENSGALG00000031812,-0.498695315065668,0.0827926829744272,0.260171743465977,Not-significant
ENSGALG00000031813,-0.49029033784546,0.0889491358988831,0.271292395054173,Not-significant
ENSGALG00000031821,0.627571632442189,0.0216610474543639,0.11326428716499,Not-significant
ENSGALG00000031832,-0.22413272587221,0.461645001183843,0.683969249225314,Not-significant
ENSGALG00000031835,-0.369818997689147,0.213598178326041,0.445019834456646,Not-significant
ENSGALG00000031839,-0.369818997689147,0.213598178326041,0.445019834456646,Not-significant
ENSGALG00000031841,-0.0644381586882605,0.834338696728585,0.921766383976291,Not-significant
ENSGALG00000031843,0.624769973368786,0.0224328023861257,0.115000824551553,Not-significant
ENSGALG00000031851,-0.0392232270276368,0.898767233488208,0.951421933619335,Not-significant
ENSGALG00000031860,0.624769973368786,0.0224328023861257,0.115000824551553,Not-significant
ENSGALG00000031866,0.367017338615744,0.217357530761827,0.449358267397334,Not-significant
ENSGALG00000031872,-0.173702862550963,0.570352556873442,0.764786182083685,Not-significant
ENSGALG00000031894,-0.243744339386029,0.422266370910799,0.649722458098885,Not-significant
ENSGALG00000031895,-0.00280165907340263,0.992752475177311,0.994835236002731,Not-significant
ENSGALG00000031896,0.0196116135138184,0.949295986292904,0.974396496815271,Not-significant
ENSGALG00000031901,-0.157359158493889,0.607660154115838,0.787702627942864,Not-significant
ENSGALG00000031906,-0.133455252611685,0.663817146266627,0.826836186948431,Not-significant
ENSGALG00000031917,0.397835588423173,0.178218345614099,0.40219941349969,Not-significant
ENSGALG00000031918,-0.11766968108291,0.701831359784237,0.851216528879402,Not-significant
ENSGALG00000031922,0,1,1,Not-significant
ENSGALG00000031928,-0.252149316606237,0.405924180295924,0.63761553399071,Not-significant
ENSGALG00000031929,0.4258521791572,0.146811972728112,0.362095800251774,Not-significant
ENSGALG00000031932,-0.0588348405414552,0.848587588598995,0.927158950606521,Not-significant
ENSGALG00000031960,0.218529407725405,0.473207708091897,0.694358205035071,Not-significant
ENSGALG00000031973,0.0448265451744421,0.88438702462603,0.946044386810279,Not-significant
ENSGALG00000031982,-0.431455497304005,0.140998349313447,0.3533320861217,Not-significant
ENSGALG00000031983,0.120471340156313,0.695034827908571,0.846618540792057,Not-significant
