,rho,p,adjusted_p,class
FBgn0034638,0.0923231977319889,0.675236755269929,0.826592966956435,Not-significant
FBgn0034642,0.413669134589188,0.0497430609684574,0.194316778474501,Not-significant
FBgn0034644,-0.10609516645444,0.629945577141208,0.808407100286883,Not-significant
FBgn0034650,-0.333587686832711,0.119813115167304,0.326088626321096,Not-significant
FBgn0034651,-0.346774894279546,0.104998008231426,0.301111493582848,Not-significant
FBgn0034655,-0.348889874302102,0.102753383699617,0.296730265602325,Not-significant
FBgn0034657,-0.155572239272136,0.478433115941573,0.704529287542779,Not-significant
FBgn0034659,-0.230771712811613,0.289414474638078,0.528015315161556,Not-significant
FBgn0034661,-0.143944118080862,0.512300156505285,0.725183232677788,Not-significant
FBgn0034662,0.412919285465595,0.0502002112782583,0.195564274054203,Not-significant
FBgn0034663,0.293031193860008,0.174791387978004,0.409920643497427,Not-significant
FBgn0034664,0.168136693584734,0.443157796490261,0.67489338499682,Not-significant
FBgn0034666,-0.161082924874879,0.462789441234454,0.691765619538867,Not-significant
FBgn0034667,-0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034670,0.13261895806805,0.546359723786128,0.752256752994341,Not-significant
FBgn0034674,0.0397856874204151,0.856967485456846,0.931922824359969,Not-significant
FBgn0034681,-0.119953431734052,0.58563640022963,0.776468952328796,Not-significant
FBgn0034683,-0.295030494275543,0.171731547180526,0.4075444791427,Not-significant
FBgn0034684,-0.254891826471378,0.240490741858983,0.465971334040791,Not-significant
FBgn0034689,-0.374903593000065,0.0779600149912978,0.249663052522099,Not-significant
FBgn0034693,-0.106605239370087,0.628291394364514,0.807676089252609,Not-significant
FBgn0034694,-0.157102458019075,0.474062510442119,0.700794193263692,Not-significant
FBgn0034697,-0.259117041148344,0.232514461781816,0.458475320234332,Not-significant
FBgn0034700,0.1815859579701,0.406981092611152,0.644705816297113,Not-significant
FBgn0034703,0.354500676374211,0.0969700992708901,0.286526164829572,Not-significant
FBgn0034705,-0.227492520378271,0.296512606949015,0.534389738285834,Not-significant
FBgn0034706,-0.0964037810571597,0.661694335707986,0.818079842056395,Not-significant
FBgn0034707,0.299412801484406,0.16515499395056,0.396867370562375,Not-significant
FBgn0034709,0.395816582541566,0.0615394954575349,0.215409918208299,Not-significant
FBgn0034712,-0.0567973144059869,0.796864133508491,0.897099666946547,Not-significant
FBgn0034713,0.19345130815185,0.376470231606542,0.61369466373144,Not-significant
FBgn0034715,0.13265684804335,0.546244065873531,0.752256752994341,Not-significant
FBgn0034716,-0.393266217963334,0.0633861689424341,0.220244212058111,Not-significant
FBgn0034717,-0.00714102081904886,0.974202854257034,0.987275305843429,Not-significant
FBgn0034720,-0.343789145145638,0.108227852489927,0.306306406448701,Not-significant
FBgn0034722,-0.479978613623213,0.0204563109128318,0.111288604933226,Not-significant
FBgn0034723,-0.0122417499755123,0.955790162123515,0.978443886081513,Not-significant
FBgn0034724,0.113746260189135,0.605317242069129,0.7919427739648,Not-significant
FBgn0034726,0.319305645194613,0.137507658623149,0.354989885853006,Not-significant
FBgn0034729,0.266258061967393,0.219433261318577,0.443149017674069,Not-significant
FBgn0034731,-0.260137186979637,0.2306150346411,0.455997164435647,Not-significant
FBgn0034733,0.0479468540707567,0.828016401633148,0.9130330706875,Not-significant
FBgn0034735,-0.193827707945612,0.375524312728036,0.612554765622382,Not-significant
FBgn0034742,0.235653687028613,0.279045177440286,0.51362512371536,Not-significant
FBgn0034744,0.151491655946965,0.49018702062808,0.713743804904667,Not-significant
FBgn0034748,-0.0357051040952443,0.871512557110598,0.938774720895316,Not-significant
FBgn0034753,-0.0673296248653179,0.760182672190307,0.874135277872267,Not-significant
FBgn0034761,0.334607832664004,0.118615750482182,0.324429753659141,Not-significant
FBgn0034766,-0.162425651960893,0.459018217292065,0.68953231168675,Not-significant
FBgn0034768,-0.407227176880155,0.0537775916368126,0.199263929623311,Not-significant
FBgn0034776,-0.300522420053125,0.163518038547959,0.395584682633984,Not-significant
