,rho,p,adjusted_p,class
FBgn0034175,0.0780411560938912,0.723383172791095,0.854571106969526,Not-significant
FBgn0034176,0.291761707749711,0.176753729117286,0.409920643497427,Not-significant
FBgn0034179,-0.140780124718392,0.521711212966094,0.73254282823332,Not-significant
FBgn0034180,0.402957603360614,0.0565878766226922,0.204788330189371,Not-significant
FBgn0034181,-0.447844019937493,0.0321148811309238,0.146680105358436,Not-significant
FBgn0034184,-0.470287228225932,0.0235380579355115,0.12159493891387,Not-significant
FBgn0034186,-0.136699541393221,0.5339689175591,0.742020549443568,Not-significant
FBgn0034191,-0.296862436906174,0.168960619270577,0.40299034617861,Not-significant
FBgn0034194,0.165773697585063,0.449684706256037,0.680555739175422,Not-significant
FBgn0034195,0.266078079130361,0.219756816395588,0.443712238632879,Not-significant
FBgn0034196,-0.257639109898355,0.235284438209048,0.460475196116174,Not-significant
FBgn0034198,-0.0096913853972806,0.964994346284524,0.983609053559456,Not-significant
FBgn0034201,0.0377362096734855,0.864267437005154,0.935152240410543,Not-significant
FBgn0034204,-0.482637905320828,0.0196702957968178,0.108317471422166,Not-significant
FBgn0034205,-0.257639109898355,0.235284438209048,0.460475196116174,Not-significant
FBgn0034210,-0.0816116665034156,0.711242769959491,0.848140554503146,Not-significant
FBgn0034214,0.210150041246295,0.335825590975389,0.574692751205773,Not-significant
FBgn0034217,-0.340218634736114,0.112185166023512,0.312783451944308,Not-significant
FBgn0034218,-0.355520822205504,0.0959450401770055,0.284731176979745,Not-significant
FBgn0034219,0.127008155995941,0.563609363615709,0.765608562581493,Not-significant
FBgn0034223,0.436112342877627,0.0374940996178597,0.16264907668289,Not-significant
FBgn0034224,0.204530113361463,0.349201289284018,0.588015136046819,Not-significant
FBgn0034225,0.0719914540885257,0.744099881207368,0.866352651776898,Not-significant
FBgn0034230,-0.474367811551103,0.0221979596652402,0.116983836241112,Not-significant
FBgn0034232,-0.392756145047688,0.0637605374070249,0.22092681499874,Not-significant
FBgn0034240,-0.0204029166258539,0.926379040027034,0.967795124726243,Not-significant
FBgn0034242,-0.269318499461271,0.213979972913427,0.435678838065584,Not-significant
FBgn0034243,0.00918131248163425,0.96683573832968,0.984576752902823,Not-significant
FBgn0034247,0.461105915744298,0.0267913852507411,0.131755257960823,Not-significant
FBgn0034249,0.366232353434077,0.0856616554715548,0.265097472104183,Not-significant
FBgn0034255,0.461226574465961,0.0267464168684814,0.131755257960823,Not-significant
FBgn0034261,-0.408058332517078,0.0532432881799207,0.197946435463796,Not-significant
FBgn0034263,-0.121484780545872,0.580823721016829,0.776468952328796,Not-significant
FBgn0034265,-0.355520822205504,0.0959450401770055,0.284731176979745,Not-significant
FBgn0034266,-0.0237948407331244,0.914180486997363,0.960595404890185,Not-significant
FBgn0034267,0.158789661145613,0.469267201574708,0.697581438392884,Not-significant
