,rho,p,adjusted_p,class
Nfu_g_1_022234,-0.560892146495206,0.00353693583478439,0.0483413754301773,Young-Biased
Nfu_g_1_022255,-0.525591242170333,0.00697080312704994,0.0707722215019855,Young-Biased
Nfu_g_1_022267,-0.588348405414552,0.00197812334892898,0.0347539437314491,Young-Biased
Nfu_g_1_022281,-0.529513564873097,0.00648735270484073,0.0679526193998592,Young-Biased
Nfu_g_1_022301,-0.670717182172589,0.000243212574757196,0.0111573768669864,Young-Biased
Nfu_g_1_022320,-0.509901951359279,0.00921691803043164,0.0841755214410572,Young-Biased
Nfu_g_1_022322,-0.533435887575861,0.00603233218323052,0.0656140281049741,Young-Biased
Nfu_g_1_022375,-0.556969823792443,0.00382780265983718,0.0503714429698895,Young-Biased
Nfu_g_1_022388,-0.568736791900734,0.003011074691176,0.0443339362776568,Young-Biased
Nfu_g_1_022426,-0.517746596764806,0.00802851249004288,0.0773124686723371,Young-Biased
Nfu_g_1_022465,-0.670717182172589,0.000243212574757196,0.0111573768669864,Young-Biased
Nfu_g_1_022500,-0.549125178386915,0.00447062450416546,0.0550303331823299,Young-Biased
Nfu_g_1_022539,-0.582576966166937,0.00224456181543429,0.0381498508218498,Young-Biased
Nfu_g_1_022579,-0.556969823792443,0.00382780265983718,0.0503714429698895,Young-Biased
Nfu_g_1_022607,-0.725629700011281,4.04496157488803e-05,0.00455471866426884,Young-Biased
Nfu_g_1_022666,-0.509901951359279,0.00921691803043164,0.0841755214410572,Young-Biased
Nfu_g_1_022682,-0.519807730755011,0.00773842609960452,0.0766800642209812,Young-Biased
Nfu_g_1_022722,-0.56481446919797,0.00326502791445584,0.0462188022919186,Young-Biased
Nfu_g_1_022750,-0.513824274062042,0.00860563584666902,0.0809812398904495,Young-Biased
Nfu_g_1_022764,-0.666794859469826,0.000272620134635239,0.0116943416194831,Young-Biased
Nfu_g_1_022775,-0.556969823792443,0.00382780265983718,0.0503714429698895,Young-Biased
Nfu_g_1_022792,-0.615804664333898,0.00104876682722994,0.0241679778860965,Young-Biased
Nfu_g_1_022801,-0.541280532981388,0.00520231296397148,0.0605754631727302,Young-Biased
Nfu_g_1_022817,-0.86291099460801,2.86647801808048e-08,0.000142019653405797,Young-Biased
Nfu_g_1_022839,-0.576581437306261,0.00255320610471823,0.0407650365740016,Young-Biased
Nfu_g_1_022898,-0.670717182172589,0.000243212574757196,0.0111573768669864,Young-Biased
Nfu_g_1_022932,-0.525591242170333,0.00697080312704994,0.0707722215019855,Young-Biased
Nfu_g_1_022939,-0.655027891361535,0.000380256222132649,0.0139554033522682,Young-Biased
Nfu_g_1_022963,-0.529513564873097,0.00648735270484073,0.0679526193998592,Young-Biased
Nfu_g_1_023045,-0.619726987036662,0.000953310684604121,0.0227075855138034,Young-Biased
Nfu_g_1_023076,-0.651105568658771,0.000423546815197896,0.0145222331896054,Young-Biased
Nfu_g_1_023155,-0.56481446919797,0.00326502791445584,0.0462188022919186,Young-Biased
Nfu_g_1_023184,-0.623649309739425,0.000865446019502541,0.0216012710510093,Young-Biased
Nfu_g_1_023208,-0.600115373522843,0.00151763370081223,0.0298970821895594,Young-Biased
Nfu_g_1_023220,-0.56481446919797,0.00326502791445584,0.0462188022919186,Young-Biased
Nfu_g_1_023253,-0.717785054605754,5.3585446502046e-05,0.00505693513703599,Young-Biased
Nfu_g_1_023293,-0.576581437306261,0.00255320610471823,0.0407650365740016,Young-Biased
Nfu_g_1_023300,-0.513824274062042,0.00860563584666902,0.0809812398904495,Young-Biased
Nfu_g_1_023305,-0.600115373522843,0.00151763370081223,0.0298970821895594,Young-Biased
Nfu_g_1_023352,-0.651105568658771,0.000423546815197896,0.0145222331896054,Young-Biased
Nfu_g_1_023451,-0.572659114603497,0.00277411020036013,0.0426180743804164,Young-Biased
Nfu_g_1_023498,-0.541280532981388,0.00520231296397148,0.0605754631727302,Young-Biased
Nfu_g_1_000003,-0.37262065676255,0.0665912718596344,0.253887230803046,Not-significant
Nfu_g_1_000008,-0.196116135138184,0.347450201330874,0.611633335403736,Not-significant
Nfu_g_1_000029,0.274562589193458,0.184103649838659,0.440541672603542,Not-significant
Nfu_g_1_000030,0.37262065676255,0.0665912718596344,0.253887230803046,Not-significant
Nfu_g_1_000031,-0.368698334059786,0.0697368623741285,0.259880620257705,Not-significant
