"tissue","cell_type","odds_ratio","p_val","p_adj","bias"
"lung","pulmonary interstitial fibroblast",1.01606574440238,0.899941215346754,0.988441967731591,"young-biased"
"lung","dendritic cell",0.737957933194693,0.239998045023206,0.617224119350181,"young-biased"
"lung","endothelial cell of lymphatic vessel",0.923932083157574,0.672046831209322,0.988441967731591,"young-biased"
"lung","non-classical monocyte",1.08291478102117,0.699431011193193,0.988441967731591,"young-biased"
"lung","classical monocyte",1.03953847486035,0.804635326594277,0.988441967731591,"young-biased"
"lung","B cell",0.672141993340416,0.0778769468566196,0.566010398682283,"young-biased"
"lung","CD4-positive, alpha-beta T cell",0.893244468891631,0.423100270058685,0.837815262042591,"young-biased"
"lung","NK cell",1.26165673876524,0.243864887701496,0.617224119350181,"young-biased"
"lung","type II pneumocyte",1.15690925296141,0.309072975923926,0.700565412094231,"young-biased"
"lung","ciliated columnar cell of tracheobronchial tree",1.32393545030895,0.234351528995115,0.617224119350181,"young-biased"
"lung","CD8-positive, alpha-beta T cell",0.606761033256861,0.0814974168033506,0.566010398682283,"young-biased"
"lung","neutrophil",0.655203524193403,0.19319600344157,0.613865283310771,"young-biased"
"lung","leukocyte",0.603718917012284,0.116135743252039,0.566010398682283,"young-biased"
"lung","club cell of bronchiole",0.955905449683298,1,1,"young-biased"
"lung","pericyte cell",1.25484777805169,0.24507428268316,0.617224119350181,"young-biased"
"lung","regulatory T cell",0.997000334708552,1,1,"young-biased"
"lung","T cell",0.693496289811245,0.276383864868618,0.653913494359961,"young-biased"
"liver","mature NK T cell",0.981068829149184,0.898485947453077,0.988441967731591,"young-biased"
"liver","hepatocyte",0.911230550194959,0.585472364143766,0.981274450641266,"young-biased"
"liver","endothelial cell of hepatic sinusoid",0.879900612005597,0.376695313620157,0.82629939761841,"young-biased"
"liver","Kupffer cell",0.630119007548032,0.133178917337008,0.566010398682283,"young-biased"
"liver","myeloid leukocyte",0.994513790684823,1,1,"young-biased"
"liver","B cell",1.02414199816337,0.878203270224146,0.988441967731591,"young-biased"
"liver","neutrophil",0.888752972834897,0.507759346724385,0.908621988875215,"young-biased"
"liver","T cell",0.708012517477513,0.10789462168475,0.566010398682283,"young-biased"
"liver","NK cell",0.826012922263496,0.431228443698393,0.837815262042591,"young-biased"
"liver","CD4-positive, alpha-beta T cell",0.788517638031615,0.278874872594689,0.653913494359961,"young-biased"
"muscle","skeletal muscle satellite cell",1.00104220305421,1,1,"young-biased"
"muscle","macrophage",0.513283259167253,0.00925997913628857,0.412723480764124,"young-biased"
"muscle","mesenchymal stem cell",0.979903403198468,0.876077605336204,0.988441967731591,"young-biased"
"muscle","endothelial cell",0.953273037898288,0.767532397090406,0.988441967731591,"young-biased"
"muscle","B cell",0.617581359628699,0.0242778518096543,0.412723480764124,"young-biased"
"muscle","T cell",0.758609652911255,0.395944409709481,0.837815262042591,"young-biased"
"brain","ependymal cell",1.0649626083655,0.827223924100485,0.988441967731591,"young-biased"
"brain","astrocyte",0.768321338468399,0.0142504124184035,0.412723480764124,"young-biased"
"brain","oligodendrocyte",0.877086680928552,0.198603474012308,0.613865283310771,"young-biased"
"brain","endothelial cell",1.15327331476639,0.189072886754538,0.613865283310771,"young-biased"
"brain","neuron",1.02675522491283,0.844207349112434,0.988441967731591,"young-biased"
"brain","medium spiny neuron",0.986549054714505,0.915762411280739,0.988441967731591,"young-biased"
"brain","interneuron",1.15757664887121,0.620159551653041,0.988441967731591,"young-biased"
"brain","oligodendrocyte precursor cell",0.837523214549527,0.129677073159472,0.566010398682283,"young-biased"
"brain","neuronal stem cell",0.981657943341826,0.914663207033289,0.988441967731591,"young-biased"
"brain","Bergmann glial cell",1.11041404469034,0.465582475427963,0.855665089975717,"young-biased"
"brain","brain pericyte",0.97541786041996,0.829536384168861,0.988441967731591,"young-biased"
"brain","CD8-positive, alpha-beta T cell",0.641646662955244,0.151889431853319,0.573804520334759,"young-biased"
"brain","mature NK T cell",1.08762261434429,0.591650771710175,0.981274450641266,"young-biased"
"brain","neuroepithelial cell",0.685331864788902,0.0403551772070636,0.548830410016065,"young-biased"
"brain","T cell",0,0.17340582340438,0.613865283310771,"young-biased"
"skin","basal cell of epidermis",0.974512492299151,0.863539623230937,0.988441967731591,"young-biased"
"skin","epidermal cell",0.720026937549487,0.0212923996987585,0.412723480764124,"young-biased"
"skin","bulge keratinocyte",0.85876042408349,0.128291124984252,0.566010398682283,"young-biased"
