FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
Multiple,18m,O6_B000235,nan,nan,nan,facs,18_53_M,O6_B000235_B007504_S342.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,O6_B000497,basal cell of epidermis,nan,nan,facs,18_53_M,O6_B000497_B009023_S342.mm10-plus-0-0,male,nan,Skin
Multiple,18m,O6_B000524,nan,nan,nan,facs,18_53_M,O6_B000524_B009242_S342.mm10-plus-0-0,male,nan,Trachea
Viable,18m,O6_B000756,nan,nan,nan,facs,18_45_M,O6_B000756_B007446_S342.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,O6_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,O6_B000802_B009022_S342.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O6_B000927,B cell,nan,nan,facs,18_46_F,O6_B000927_B007456_S342.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Viable,18m,O6_B001361,nan,nan,nan,facs,18_46_F,O6_B001361_B007505_S342.mm10-plus-0-0,female,RV,Heart
Viable,18m,O6_B002452,NK cell,nan,nan,facs,18_47_F,O6_B002452_B009020_S342.mm10-plus-0-0,female,nan,Spleen
Viable,18m,O6_B002831,pancreatic B cell,nan,nan,facs,18_47_F,O6_B002831_B007445_S342.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,O6_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,O6_B002832_B007443_S342.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,O6_B002850,nan,nan,nan,facs,18_47_F,O6_B002850_B007342_S342.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O6_B003262,endothelial cell,nan,new-cluster,facs,18_45_M,O6_B003262_B007459_S342.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O6_B003263,macrophage,nan,nan,facs,18_45_M,O6_B003263_B007458_S342.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O6_B003294,nan,nan,nan,facs,18_47_F,O6_B003294_B007450_S342.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,O6_D045342,B cell,nan,CD79a B cell,facs,18_45_M,O6_D045342_B009019_S342.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,O6_D045382,nan,nan,nan,facs,18_45_M,O6_D045382_B009006_S342.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,O7_B000235,nan,nan,nan,facs,18_53_M,O7_B000235_B007504_S343.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,O7_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,O7_B000497_B009023_S343.mm10-plus-0-0,male,nan,Skin
Multiple,18m,O7_B000524,nan,nan,nan,facs,18_53_M,O7_B000524_B009242_S343.mm10-plus-0-0,male,nan,Trachea
Viable,18m,O7_B000756,pancreatic B cell,nan,nan,facs,18_45_M,O7_B000756_B007446_S343.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,O7_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,O7_B000802_B009022_S343.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O7_B000927,nan,nan,nan,facs,18_46_F,O7_B000927_B007456_S343.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,O7_B001059,oligodendrocyte,nan,nan,facs,18_46_F,O7_B001059_B009342_S343.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,O7_B001361,nan,nan,nan,facs,18_46_F,O7_B001361_B007505_S343.mm10-plus-0-0,female,RV,Heart
Viable,18m,O7_B002452,B cell,nan,CD79a B cell,facs,18_47_F,O7_B002452_B009020_S343.mm10-plus-0-0,female,nan,Spleen
Viable,18m,O7_B002831,pancreatic A cell,nan,nan,facs,18_47_F,O7_B002831_B007445_S343.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,O7_B002832,endothelial cell,nan,nan,facs,18_47_F,O7_B002832_B007443_S343.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,O7_B002850,epidermal cell,nan,nan,facs,18_47_F,O7_B002850_B007342_S343.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O7_B003262,macrophage,nan,nan,facs,18_45_M,O7_B003262_B007459_S343.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O7_B003263,nan,nan,nan,facs,18_45_M,O7_B003263_B007458_S343.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O7_B003294,macrophage,nan,nan,facs,18_47_F,O7_B003294_B007450_S343.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,O7_D045342,B cell,nan,CD79a B cell,facs,18_45_M,O7_D045342_B009019_S343.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,O7_D045382,nan,nan,nan,facs,18_45_M,O7_D045382_B009006_S343.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,O8_B000235,nan,nan,nan,facs,18_53_M,O8_B000235_B007504_S344.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,O8_B000497,basal cell of epidermis,nan,nan,facs,18_53_M,O8_B000497_B009023_S344.mm10-plus-0-0,male,nan,Skin
Multiple,18m,O8_B000524,nan,nan,nan,facs,18_53_M,O8_B000524_B009242_S344.mm10-plus-0-0,male,nan,Trachea
Viable,18m,O8_B000756,nan,nan,nan,facs,18_45_M,O8_B000756_B007446_S344.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,O8_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,O8_B000802_B009022_S344.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O8_B000927,B cell,nan,nan,facs,18_46_F,O8_B000927_B007456_S344.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,O8_B001059,nan,nan,nan,facs,18_46_F,O8_B001059_B009342_S344.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,O8_B001361,nan,nan,nan,facs,18_46_F,O8_B001361_B007505_S344.mm10-plus-0-0,female,RV,Heart
Viable,18m,O8_B002452,"CD8-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,O8_B002452_B009020_S344.mm10-plus-0-0,female,nan,Spleen
Viable,18m,O8_B002831,endothelial cell,nan,nan,facs,18_47_F,O8_B002831_B007445_S344.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,O8_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,O8_B002832_B007443_S344.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,O8_B002850,epidermal cell,nan,nan,facs,18_47_F,O8_B002850_B007342_S344.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O8_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,O8_B003262_B007459_S344.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O8_B003263,nan,nan,nan,facs,18_45_M,O8_B003263_B007458_S344.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O8_B003294,macrophage,nan,nan,facs,18_47_F,O8_B003294_B007450_S344.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,O8_D045342,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_45_M,O8_D045342_B009019_S344.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,O8_D045382,nan,nan,nan,facs,18_45_M,O8_D045382_B009006_S344.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,O9_B000235,nan,nan,nan,facs,18_53_M,O9_B000235_B007504_S345.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,O9_B000497,nan,nan,nan,facs,18_53_M,O9_B000497_B009023_S345.mm10-plus-0-0,male,nan,Skin
Multiple,18m,O9_B000524,nan,nan,nan,facs,18_53_M,O9_B000524_B009242_S345.mm10-plus-0-0,male,nan,Trachea
Viable,18m,O9_B000756,pancreatic A cell,nan,nan,facs,18_45_M,O9_B000756_B007446_S345.mm10-plus-0-0,male,Endocrine,Pancreas
