FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
Neurons,24m,K3_B001615,"CD8-positive, alpha-beta T cell",nan,nan,facs,24_60_M,K3_B001615_S279_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,K3_B001618,nan,nan,nan,facs,24_60_M,K3_B001618_S267_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,K3_B002327,early pro-B cell,nan,early pro B cell,facs,24_59_M,K3_B002327_S219_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,K3_B002982,smooth muscle cell of the pulmonary artery,nan,Artery,facs,24_60_M,K3_B002982_S255_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,K3_B003029,epithelial cell of large intestine,nan,Lgr5- amplifying undifferentiated cell,facs,24_60_M,K3_B003029_S3_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,K3_B003227,nan,nan,nan,facs,24_60_M,K3_B003227_S99_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,K3_B003229,nan,nan,nan,facs,24_60_M,K3_B003229_S39_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,K3_B003232,endothelial cell,nan,Endothelial cell,facs,24_60_M,K3_B003232_S15_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,K3_B003903,nan,nan,nan,facs,24_59_M,K3_B003903_S195_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,K3_B003904,microglial cell,nan,nan,facs,24_59_M,K3_B003904_S147_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,K3_B003974,microglial cell,nan,nan,facs,24_59_M,K3_B003974_S231_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,K4_B000332,endothelial cell,nan,nan,facs,24_60_M,K4_B000332_S52_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,K4_B000333,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K4_B000333_S88_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,K4_B000337,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K4_B000337_S136_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,K4_B000834,nan,nan,nan,facs,24_60_M,K4_B000834_S172_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,K4_B000836,nan,nan,nan,facs,24_60_M,K4_B000836_S184_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,K4_B000840,microglial cell,nan,nan,facs,24_60_M,K4_B000840_S64_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,K4_B000843,microglial cell,nan,nan,facs,24_60_M,K4_B000843_S28_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,K4_B001268,nan,nan,nan,facs,24_60_M,K4_B001268_S244_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,K4_B001614,nan,nan,nan,facs,24_60_M,K4_B001614_S112_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,K4_B001615,nan,nan,nan,facs,24_60_M,K4_B001615_S280_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,K4_B001618,nan,nan,nan,facs,24_60_M,K4_B001618_S268_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,K4_B002327,macrophage,nan,CD4+ macrophage,facs,24_59_M,K4_B002327_S220_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,K4_B002982,bronchial smooth muscle cell,nan,Capillary,facs,24_60_M,K4_B002982_S256_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,K4_B003029,intestinal crypt stem cell,nan,nan,facs,24_60_M,K4_B003029_S4_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,K4_B003227,oligodendrocyte,nan,nan,facs,24_60_M,K4_B003227_S100_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,K4_B003229,endothelial cell of coronary artery,nan,coronary vascular endothelial cell,facs,24_60_M,K4_B003229_S40_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,K4_B003232,endothelial cell,nan,Endothelial cell,facs,24_60_M,K4_B003232_S16_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,K4_B003903,nan,nan,nan,facs,24_59_M,K4_B003903_S196_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,K4_B003904,microglial cell,nan,nan,facs,24_59_M,K4_B003904_S148_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,K4_B003974,microglial cell,nan,nan,facs,24_59_M,K4_B003974_S232_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,K5_B000332,endothelial cell,nan,nan,facs,24_60_M,K5_B000332_S53_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,K5_B000333,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K5_B000333_S89_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,K5_B000337,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K5_B000337_S137_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,K5_B000834,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K5_B000834_S173_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,K5_B000836,nan,nan,nan,facs,24_60_M,K5_B000836_S185_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,K5_B000840,microglial cell,nan,nan,facs,24_60_M,K5_B000840_S65_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,K5_B000843,microglial cell,nan,nan,facs,24_60_M,K5_B000843_S29_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,K5_B001268,nan,nan,nan,facs,24_60_M,K5_B001268_S245_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,K5_B001614,nan,nan,nan,facs,24_60_M,K5_B001614_S113_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,K5_B001615,brain pericyte,nan,Pericyte,facs,24_60_M,K5_B001615_S281_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,K5_B001618,microglial cell,nan,nan,facs,24_60_M,K5_B001618_S269_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,K5_B002327,naive B cell,nan,naïve B cell,facs,24_59_M,K5_B002327_S221_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,K5_B002982,nan,nan,nan,facs,24_60_M,K5_B002982_S257_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,K5_B003029,epithelial cell of large intestine,nan,Lgr5- amplifying undifferentiated cell,facs,24_60_M,K5_B003029_S5_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,K5_B003227,nan,nan,nan,facs,24_60_M,K5_B003227_S101_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,K5_B003229,nan,nan,nan,facs,24_60_M,K5_B003229_S41_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,K5_B003232,macrophage,nan,nan,facs,24_60_M,K5_B003232_S17_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,K5_B003903,nan,nan,nan,facs,24_59_M,K5_B003903_S197_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,K5_B003904,microglial cell,nan,nan,facs,24_59_M,K5_B003904_S149_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,K5_B003974,microglial cell,nan,nan,facs,24_59_M,K5_B003974_S233_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,K6_B000332,endothelial cell,nan,nan,facs,24_60_M,K6_B000332_S54_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,K6_B000333,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K6_B000333_S90_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,K6_B000337,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K6_B000337_S138_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,K6_B000834,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K6_B000834_S174_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,K6_B000836,nan,nan,nan,facs,24_60_M,K6_B000836_S186_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,K6_B000840,microglial cell,nan,nan,facs,24_60_M,K6_B000840_S66_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,K6_B000843,microglial cell,nan,nan,facs,24_60_M,K6_B000843_S30_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,K6_B001268,nan,nan,nan,facs,24_60_M,K6_B001268_S246_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,K6_B001614,nan,nan,nan,facs,24_60_M,K6_B001614_S114_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,K6_B001615,nan,nan,nan,facs,24_60_M,K6_B001615_S282_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,K6_B001618,microglial cell,nan,nan,facs,24_60_M,K6_B001618_S270_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,K6_B002327,naive B cell,nan,naïve B cell,facs,24_59_M,K6_B002327_S222_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,K6_B002982,bronchial smooth muscle cell,nan,Capillary,facs,24_60_M,K6_B002982_S258_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,K6_B003029,epithelial cell of large intestine,nan,Lgr5- amplifying undifferentiated cell,facs,24_60_M,K6_B003029_S6_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,K6_B003227,nan,nan,nan,facs,24_60_M,K6_B003227_S102_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,K6_B003229,nan,nan,nan,facs,24_60_M,K6_B003229_S42_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,K6_B003232,endothelial cell,nan,Endothelial cell,facs,24_60_M,K6_B003232_S18_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,K6_B003903,nan,nan,nan,facs,24_59_M,K6_B003903_S198_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,K6_B003904,microglial cell,nan,nan,facs,24_59_M,K6_B003904_S150_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,K6_B003974,microglial cell,nan,nan,facs,24_59_M,K6_B003974_S234_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,K7_B000332,myeloid cell,nan,nan,facs,24_60_M,K7_B000332_S55_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,K7_B000333,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K7_B000333_S91_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,K7_B000337,nan,nan,nan,facs,24_60_M,K7_B000337_S139_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,K7_B000834,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K7_B000834_S175_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,K7_B000836,nan,nan,nan,facs,24_60_M,K7_B000836_S187_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,K7_B000840,microglial cell,nan,nan,facs,24_60_M,K7_B000840_S67_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,K7_B000843,microglial cell,nan,nan,facs,24_60_M,K7_B000843_S31_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,K7_B001268,nan,nan,nan,facs,24_60_M,K7_B001268_S247_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,K7_B001614,nan,nan,nan,facs,24_60_M,K7_B001614_S115_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,K7_B001615,brain pericyte,nan,Pericyte,facs,24_60_M,K7_B001615_S283_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,K7_B001618,microglial cell,nan,nan,facs,24_60_M,K7_B001618_S271_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,K7_B002327,naive B cell,nan,naïve B cell,facs,24_59_M,K7_B002327_S223_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,K7_B002982,bronchial smooth muscle cell,nan,Capillary,facs,24_60_M,K7_B002982_S259_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,K7_B003029,epithelial cell of large intestine,nan,Lgr5- amplifying undifferentiated cell,facs,24_60_M,K7_B003029_S7_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,K7_B003227,nan,nan,nan,facs,24_60_M,K7_B003227_S103_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,K7_B003229,nan,nan,nan,facs,24_60_M,K7_B003229_S43_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,K7_B003232,macrophage,nan,nan,facs,24_60_M,K7_B003232_S19_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,K7_B003903,nan,nan,nan,facs,24_59_M,K7_B003903_S199_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,K7_B003904,microglial cell,nan,nan,facs,24_59_M,K7_B003904_S151_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,K7_B003974,microglial cell,nan,nan,facs,24_59_M,K7_B003974_S235_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,K8_B000332,myeloid cell,nan,nan,facs,24_60_M,K8_B000332_S56_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,K8_B000333,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K8_B000333_S92_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,K8_B000337,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K8_B000337_S140_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,K8_B000834,mesenchymal stem cell of adipose,nan,mesenchymal progenitor,facs,24_60_M,K8_B000834_S176_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,K8_B000836,nan,nan,nan,facs,24_60_M,K8_B000836_S188_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,K8_B000840,microglial cell,nan,nan,facs,24_60_M,K8_B000840_S68_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,K8_B000843,microglial cell,nan,nan,facs,24_60_M,K8_B000843_S32_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,K8_B001268,nan,nan,nan,facs,24_60_M,K8_B001268_S248_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,K8_B001614,nan,nan,nan,facs,24_60_M,K8_B001614_S116_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,K8_B001615,endothelial cell,nan,Endothelial cell,facs,24_60_M,K8_B001615_S284_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,K8_B001618,macrophage,nan,nan,facs,24_60_M,K8_B001618_S272_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,K8_B002327,precursor B cell,nan,pre B cell,facs,24_59_M,K8_B002327_S224_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,K8_B002982,bronchial smooth muscle cell,nan,Capillary,facs,24_60_M,K8_B002982_S260_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,K8_B003029,epithelial cell of large intestine,nan,Lgr5- amplifying undifferentiated cell,facs,24_60_M,K8_B003029_S8_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,K8_B003227,nan,nan,nan,facs,24_60_M,K8_B003227_S104_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,K8_B003229,nan,nan,nan,facs,24_60_M,K8_B003229_S44_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,K8_B003232,macrophage,nan,nan,facs,24_60_M,K8_B003232_S20_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,K8_B003903,nan,nan,nan,facs,24_59_M,K8_B003903_S200_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,K8_B003904,microglial cell,nan,nan,facs,24_59_M,K8_B003904_S152_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,K8_B003974,microglial cell,nan,nan,facs,24_59_M,K8_B003974_S236_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,K9_B000332,T cell,nan,nan,facs,24_60_M,K9_B000332_S57_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,K9_B000333,T cell,nan,nan,facs,24_60_M,K9_B000333_S93_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,K9_B000337,myeloid cell,nan,nan,facs,24_60_M,K9_B000337_S141_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,K9_B000834,myeloid cell,nan,nan,facs,24_60_M,K9_B000834_S177_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,K9_B000836,nan,nan,nan,facs,24_60_M,K9_B000836_S189_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,K9_B000840,nan,nan,nan,facs,24_60_M,K9_B000840_S69_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,K9_B000843,microglial cell,nan,nan,facs,24_60_M,K9_B000843_S33_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,K9_B001268,nan,nan,nan,facs,24_60_M,K9_B001268_S249_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,K9_B001614,nan,nan,nan,facs,24_60_M,K9_B001614_S117_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,K9_B001615,T cell,nan,nan,facs,24_60_M,K9_B001615_S285_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,K9_B001618,microglial cell,nan,nan,facs,24_60_M,K9_B001618_S273_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,K9_B002327,naive B cell,nan,naïve B cell,facs,24_59_M,K9_B002327_S225_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,K9_B002982,bronchial smooth muscle cell,nan,Capillary,facs,24_60_M,K9_B002982_S261_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,K9_B003029,enterocyte of epithelium of large intestine,nan,nan,facs,24_60_M,K9_B003029_S9_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,K9_B003227,nan,nan,nan,facs,24_60_M,K9_B003227_S105_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,K9_B003229,nan,nan,nan,facs,24_60_M,K9_B003229_S45_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,K9_B003232,macrophage,nan,nan,facs,24_60_M,K9_B003232_S21_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,K9_B003903,nan,nan,nan,facs,24_59_M,K9_B003903_S201_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,K9_B003904,macrophage,nan,nan,facs,24_59_M,K9_B003904_S153_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,K9_B003974,microglial cell,nan,nan,facs,24_59_M,K9_B003974_S237_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,L10_B000332,myeloid cell,nan,nan,facs,24_60_M,L10_B000332_S82_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,L10_B000333,macrophage,nan,nan,facs,24_60_M,L10_B000333_S118_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,L10_B000337,B cell,nan,nan,facs,24_60_M,L10_B000337_S166_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,L10_B000834,myeloid cell,nan,granulocyte,facs,24_60_M,L10_B000834_S202_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,L10_B000836,nan,nan,nan,facs,24_60_M,L10_B000836_S214_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,L10_B000840,microglial cell,nan,nan,facs,24_60_M,L10_B000840_S94_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,L10_B000843,microglial cell,nan,nan,facs,24_60_M,L10_B000843_S58_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,L10_B001268,nan,nan,nan,facs,24_60_M,L10_B001268_S274_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,L10_B001614,nan,nan,nan,facs,24_60_M,L10_B001614_S142_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,L10_B001615,nan,nan,nan,facs,24_60_M,L10_B001615_S10_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,L10_B001618,microglial cell,nan,nan,facs,24_60_M,L10_B001618_S298_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,L10_B002327,precursor B cell,nan,pre B cell,facs,24_59_M,L10_B002327_S250_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,L10_B002982,bronchial smooth muscle cell,nan,Capillary,facs,24_60_M,L10_B002982_S286_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,L10_B003029,large intestine goblet cell,nan,nan,facs,24_60_M,L10_B003029_S34_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,L10_B003227,neuron,nan,Granular_Neuron_CB_Gabra6,facs,24_60_M,L10_B003227_S130_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,L10_B003229,nan,nan,nan,facs,24_60_M,L10_B003229_S70_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,L10_B003232,nan,nan,nan,facs,24_60_M,L10_B003232_S46_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,L10_B003903,nan,nan,nan,facs,24_59_M,L10_B003903_S226_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,L10_B003904,microglial cell,nan,nan,facs,24_59_M,L10_B003904_S178_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,L10_B003974,microglial cell,nan,nan,facs,24_59_M,L10_B003974_S262_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,L11_B000332,myeloid cell,nan,nan,facs,24_60_M,L11_B000332_S83_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,L11_B000333,nan,nan,nan,facs,24_60_M,L11_B000333_S119_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,L11_B000337,"CD4-positive, alpha-beta T cell",nan,nan,facs,24_60_M,L11_B000337_S167_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,L11_B000834,myeloid cell,nan,granulocyte,facs,24_60_M,L11_B000834_S203_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,L11_B000836,nan,nan,nan,facs,24_60_M,L11_B000836_S215_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,L11_B000840,microglial cell,nan,nan,facs,24_60_M,L11_B000840_S95_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,L11_B000843,microglial cell,nan,nan,facs,24_60_M,L11_B000843_S59_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,L11_B001268,nan,nan,nan,facs,24_60_M,L11_B001268_S275_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,L11_B001614,nan,nan,nan,facs,24_60_M,L11_B001614_S143_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,L11_B001615,neuron,nan,nan,facs,24_60_M,L11_B001615_S11_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,L11_B001618,microglial cell,nan,nan,facs,24_60_M,L11_B001618_S299_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,L11_B002327,granulocyte,nan,granulocyte,facs,24_59_M,L11_B002327_S251_L003.mus-0-0-1,male,B-cells,Marrow
Multiple,24m,L11_B002982,bronchial smooth muscle cell,nan,Capillary,facs,24_60_M,L11_B002982_S287_L004.mus-0-0-1,male,Endomucin,Lung
Multiple,24m,L11_B003029,large intestine goblet cell,nan,nan,facs,24_60_M,L11_B003029_S35_L004.mus-0-0-1,male,Proximal,Large_Intestine
Neurons,24m,L11_B003227,nan,nan,nan,facs,24_60_M,L11_B003227_S131_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Viable,24m,L11_B003229,endothelial cell of coronary artery,nan,coronary vascular endothelial cell,facs,24_60_M,L11_B003229_S71_L004.mus-0-0-1,male,RV,Heart
Neurons,24m,L11_B003232,nan,nan,nan,facs,24_60_M,L11_B003232_S47_L002.mus-0-0-1,male,Cerebellum,Brain_Non-Myeloid
Neurons,24m,L11_B003903,nan,nan,nan,facs,24_59_M,L11_B003903_S227_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Microglia,24m,L11_B003904,microglial cell,nan,nan,facs,24_59_M,L11_B003904_S179_L002.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Microglia,24m,L11_B003974,microglial cell,nan,nan,facs,24_59_M,L11_B003974_S263_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Multiple,24m,L12_B000332,B cell,nan,nan,facs,24_60_M,L12_B000332_S84_L003.mus-0-0-1,male,Fat,SCAT
Multiple,24m,L12_B000333,B cell,nan,nan,facs,24_60_M,L12_B000333_S120_L004.mus-0-0-1,male,Fat,MAT
Multiple,24m,L12_B000337,myeloid cell,nan,nan,facs,24_60_M,L12_B000337_S168_L003.mus-0-0-1,male,Fat,GAT
Multiple,24m,L12_B000834,myeloid cell,nan,nan,facs,24_60_M,L12_B000834_S204_L004.mus-0-0-1,male,Fat,BAT
Multiple,24m,L12_B000836,nan,nan,nan,facs,24_60_M,L12_B000836_S216_L003.mus-0-0-1,male,nan,Bladder
Microglia,24m,L12_B000840,microglial cell,nan,nan,facs,24_60_M,L12_B000840_S96_L002.mus-0-0-1,male,Striatum,Brain_Myeloid
Microglia,24m,L12_B000843,microglial cell,nan,nan,facs,24_60_M,L12_B000843_S60_L001.mus-0-0-1,male,Hippocampus,Brain_Myeloid
Neurons,24m,L12_B001268,astrocyte,nan,nan,facs,24_60_M,L12_B001268_S276_L001.mus-0-0-1,male,Hippocampus,Brain_Non-Myeloid
Neurons,24m,L12_B001614,nan,nan,nan,facs,24_60_M,L12_B001614_S144_L001.mus-0-0-1,male,Striatum,Brain_Non-Myeloid
Neurons,24m,L12_B001615,brain pericyte,nan,Pericyte,facs,24_60_M,L12_B001615_S12_L001.mus-0-0-1,male,Cortex,Brain_Non-Myeloid
Microglia,24m,L12_B001618,microglial cell,nan,nan,facs,24_60_M,L12_B001618_S300_L003.mus-0-0-1,male,Cerebellum,Brain_Myeloid
Multiple,24m,L12_B002327,naive B cell,nan,naïve B cell,facs,24_59_M,L12_B002327_S252_L003.mus-0-0-1,male,B-cells,Marrow
